N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N49369	music	music-gallery	15 Groundbreaking Female Rappers Who Changed The Industry	MCs who made a difference in the rap game.	https://assets.msn.com/labs/mind/AAE5TUx.html	[]	[]
N64413	foodanddrink	recipes	These Vegetarian Meal Ideas Are so Tasty (and Perfect for Christmastime)	These dishes will make everyone at the table happy.	https://assets.msn.com/labs/mind/AAAGH7R.html	[]	[]
N37414	music	music-gallery	The best hair metal bands	The hair, or glam, metal bands of the 1980s remain one of the true guilty pleasures in the history of music. The hair spray, makeup and catchy pop tunes touched up with distortion were made for MTV. Though there really wasn't much substance to the music, the scene was popular to the mainstream nonetheless. So we've decided to rank our 20 hair metal bands of all time. But before we go on, bands like Def Leppard, Kiss, Scorpions, Whitesnake, Extreme and Tesla are not on this list. While, yes, some of these groups made massively successful pop-tinged metal albums during the '80s, they were either already successfully established hard-rock acts before this time and went for some easy money or were unjustly lumped into the genre thanks to MTV. With that said, here we go.	https://assets.msn.com/labs/mind/AAGKFf4.html	[]	[{"Label": "Tesla (band)", "Type": "P", "WikidataId": "Q1428953", "Confidence": 1.0, "OccurrenceOffsets": [456], "SurfaceForms": ["Tesla"]}, {"Label": "Kiss (band)", "Type": "P", "WikidataId": "Q124179", "Confidence": 1.0, "OccurrenceOffsets": [415], "SurfaceForms": ["Kiss"]}, {"Label": "Whitesnake", "Type": "P", "WikidataId": "Q189965", "Confidence": 1.0, "OccurrenceOffsets": [432], "SurfaceForms": ["Whitesnake"]}, {"Label": "Scorpions (band)", "Type": "P", "WikidataId": "Q124147", "Confidence": 1.0, "OccurrenceOffsets": [421], "SurfaceForms": ["Scorpions"]}, {"Label": "Def Leppard", "Type": "P", "WikidataId": "Q182890", "Confidence": 1.0, "OccurrenceOffsets": [402], "SurfaceForms": ["Def Leppard"]}, {"Label": "Extreme (band)", "Type": "P", "WikidataId": "Q682710", "Confidence": 1.0, "OccurrenceOffsets": [444], "SurfaceForms": ["Extreme"]}, {"Label": "MTV", "Type": "M", "WikidataId": "Q43359", "Confidence": 0.999, "OccurrenceOffsets": [194, 744], "SurfaceForms": ["MTV", "MTV"]}]
N27137	foodanddrink	restaurantsandnews	The Food Truck Everyone Is Obsessed With in Your State	What's the top-rated food truck in your state?	https://assets.msn.com/labs/mind/AAFfC5o.html	[{"Label": "Food truck", "Type": "C", "WikidataId": "Q3303463", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Food Truck"]}]	[{"Label": "Food truck", "Type": "C", "WikidataId": "Q3303463", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["food truck"]}]
N34406	news	newspolitics	Sen. Sinema's new bill would allow families' names to be put on veterans' headstones, too	Currently, only veterans are entitled to headstones or markers if families choose to bury their loved ones in a private cemetery.	https://assets.msn.com/labs/mind/AAJwpmC.html	[]	[]
N9	foodanddrink	restaurantsandnews	Check out these unique eateries formerly known as other things	Gas stations, firehouses and beauty parlors are just a few of the places being transformed into unique restaurants.	https://assets.msn.com/labs/mind/AAI3bvW.html	[]	[]
N15254	finance	finance-companies	WeWork set to sack 2,000 staff as anger toward founder Adam Neumann grows	Troubled office rental company to lay off 13% of its workforce to try to staunch massive losses   and few believe the cuts will stop there	https://assets.msn.com/labs/mind/AAINbuQ.html	[{"Label": "Adam Neumann", "Type": "P", "WikidataId": "Q34579349", "Confidence": 1.0, "OccurrenceOffsets": [55], "SurfaceForms": ["Adam Neumann"]}]	[]
N33161	weather	weathertopstories	Home destroyed, but dishes left intact: Neighborhood hit hard by Dallas tornado one of the city's most exclusive	Some of the homes hardest hit by Sunday night's tornado are in the most exclusive neighborhoods in Dallas.	https://assets.msn.com/labs/mind/AAJaBvk.html	[{"Label": "Dallas Tornado", "Type": "O", "WikidataId": "Q1158012", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Dallas tornado"]}]	[]
N55248	sports	football_ncaa	Dallas-Fort Worth football teams undefeated through Week 8 of the 2019 season	Here's a look at all the schools in DFW that are still undefeated through Week 8. If you don't see your school, please email us at bgosset@star-telegram.com. Allen Argyle Dallas Christian Decatur Denton Ryan DeSoto Duncanville Frisco Lone Star Gainesville Grandview Muenster Sacred Heart Nolan Catholic Pottsboro Southlake Carroll Sunnyvale	https://assets.msn.com/labs/mind/AAJ4NZ9.html	[{"Label": "Dallas\u2013Fort Worth metroplex", "Type": "G", "WikidataId": "Q179295", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Dallas-Fort Worth"]}]	[{"Label": "Dallas\u2013Fort Worth metroplex", "Type": "G", "WikidataId": "Q179295", "Confidence": 1.0, "OccurrenceOffsets": [36], "SurfaceForms": ["DFW"]}]
N7771	lifestyle	voices	I Quit Instagram For Three Months to Heal My Idiot Brain	*Screams/sobs* Hello from the other siiiiiiide.	https://assets.msn.com/labs/mind/AAGbC2v.html	[{"Label": "Instagram", "Type": "W", "WikidataId": "Q209330", "Confidence": 1.0, "OccurrenceOffsets": [7], "SurfaceForms": ["Instagram"]}]	[]
N30781	autos	autosenthusiasts	Lowriders in Vegas! See Lowrider Photos From the 2019 Las Vegas Super Show	The 2019 show proved to be a successful one, and as we plan for something bigger and better in 2020, you can be rest assured that we've learned from our mistakes and are ready to make up for lost time.	https://assets.msn.com/labs/mind/AAHsWji.html	[{"Label": "Lowrider", "Type": "C", "WikidataId": "Q916998", "Confidence": 0.984, "OccurrenceOffsets": [24], "SurfaceForms": ["Lowrider"]}, {"Label": "Las Vegas", "Type": "G", "WikidataId": "Q23768", "Confidence": 0.933, "OccurrenceOffsets": [54], "SurfaceForms": ["Las Vegas"]}]	[]
N31552	lifestyle	shop-holidays	The Best Pre-Black Friday and Cyber Monday Deals of 2019	We can't believe what we're seeing either.	https://assets.msn.com/labs/mind/AAFfH23.html	[{"Label": "Black Friday (shopping)", "Type": "H", "WikidataId": "Q86483", "Confidence": 1.0, "OccurrenceOffsets": [13], "SurfaceForms": ["Black Friday"]}, {"Label": "Cyber Monday", "Type": "U", "WikidataId": "Q112055", "Confidence": 1.0, "OccurrenceOffsets": [30], "SurfaceForms": ["Cyber Monday"]}]	[]
N30344	lifestyle	lifestylebuzz	Snakehead fish that survives on land was discovered in Georgia. Officials want it dead	An invasive fish species that can breathe air and survive on land has been found in Georgia for the first time. And officials are warning anyone who comes into contact with the species to kill it immediately.	https://assets.msn.com/labs/mind/AAIzlnB.html	[{"Label": "Georgia (U.S. state)", "Type": "G", "WikidataId": "Q1428", "Confidence": 0.972, "OccurrenceOffsets": [55], "SurfaceForms": ["Georgia"]}]	[{"Label": "Georgia (U.S. state)", "Type": "G", "WikidataId": "Q1428", "Confidence": 0.972, "OccurrenceOffsets": [84], "SurfaceForms": ["Georgia"]}]
N19490	entertainment	entertainment-celebrity	Louisville's own Jennifer Lawrence ties the knot in a private ceremony, reports say	Louisville's Oscar-winning actress Jennifer Lawrence and New York City gallery director Cooke Maroney said "I do" in a small ceremony this weekend.	https://assets.msn.com/labs/mind/AAJ4mS9.html	[{"Label": "Jennifer Lawrence", "Type": "P", "WikidataId": "Q189490", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Jennifer Lawrence"]}, {"Label": "Louisville, Kentucky", "Type": "G", "WikidataId": "Q43668", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Louisville"]}]	[{"Label": "Jennifer Lawrence", "Type": "P", "WikidataId": "Q189490", "Confidence": 1.0, "OccurrenceOffsets": [35, 88], "SurfaceForms": ["Jennifer Lawrence", "Cooke Maroney"]}, {"Label": "Louisville, Kentucky", "Type": "G", "WikidataId": "Q43668", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Louisville"]}, {"Label": "New York City", "Type": "G", "WikidataId": "Q60", "Confidence": 1.0, "OccurrenceOffsets": [57], "SurfaceForms": ["New York City"]}, {"Label": "Academy Awards", "Type": "J", "WikidataId": "Q19020", "Confidence": 1.0, "OccurrenceOffsets": [13], "SurfaceForms": ["Oscar-winning"]}]
N48774	lifestyle	lifestylehomeandgarden	How to Downsize Your Home: 12 Easy Tips	Whether it's a personal move or helping a parent move to a smaller home, trying to downsize is a frustrating task. Deciding what to keep and what has to go is agonizing but with the proper planning and some helpful ideas the process can go smoothly. Take a look at these 12 ways to downsize.	https://assets.msn.com/labs/mind/AABbJ9D.html	[]	[]
N39751	foodanddrink	foodnews	Costco Is Going To Start Selling The Better Than Beef Burger	First Burger King, now Costco, next THE WORLD.	https://assets.msn.com/labs/mind/AAHZqoc.html	[{"Label": "Costco", "Type": "O", "WikidataId": "Q715583", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Costco"]}, {"Label": "Hamburger", "Type": "C", "WikidataId": "Q6663", "Confidence": 1.0, "OccurrenceOffsets": [49], "SurfaceForms": ["Beef Burger"]}]	[{"Label": "Costco", "Type": "O", "WikidataId": "Q715583", "Confidence": 1.0, "OccurrenceOffsets": [23], "SurfaceForms": ["Costco"]}, {"Label": "Burger King", "Type": "O", "WikidataId": "Q177054", "Confidence": 0.999, "OccurrenceOffsets": [6], "SurfaceForms": ["Burger King"]}]
N17108	finance	financenews	Governor Gavin Newsom calls for investigation into California gas prices		https://assets.msn.com/labs/mind/AAJaBvx.html	[{"Label": "Gavin Newsom", "Type": "P", "WikidataId": "Q461391", "Confidence": 1.0, "OccurrenceOffsets": [9], "SurfaceForms": ["Gavin Newsom"]}, {"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 0.912, "OccurrenceOffsets": [51], "SurfaceForms": ["California"]}]	[]
N28035	news	newspolitics	Gabbard, in defiant video, links Clinton 'smears' to her previous Sanders endorsement	Speaking directly to the camera in a video message posted on social media on Sunday, 2020 presidential candidate Tulsi Gabbard suggested that Hillary Clinton recently "smeared" her as a "Russian asset" as payback for Gabbard's defiance of the party establishment in 2016.	https://assets.msn.com/labs/mind/AAJ4O0y.html	[{"Label": "Tulsi Gabbard", "Type": "P", "WikidataId": "Q32620", "Confidence": 0.996, "OccurrenceOffsets": [0], "SurfaceForms": ["Gabbard"]}, {"Label": "Hillary Clinton", "Type": "P", "WikidataId": "Q6294", "Confidence": 0.996, "OccurrenceOffsets": [33], "SurfaceForms": ["Clinton"]}]	[{"Label": "Tulsi Gabbard", "Type": "P", "WikidataId": "Q32620", "Confidence": 0.996, "OccurrenceOffsets": [113, 217], "SurfaceForms": ["Tulsi Gabbard", "Gabbard"]}, {"Label": "Hillary Clinton", "Type": "P", "WikidataId": "Q6294", "Confidence": 0.996, "OccurrenceOffsets": [142], "SurfaceForms": ["Hillary Clinton"]}]
N49198	lifestyle	lifestyledidyouknow	These Are The Oldest Universities In America	Do you know what the country's very first college was called?	https://assets.msn.com/labs/mind/AAGbGF4.html	[{"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.983, "OccurrenceOffsets": [37], "SurfaceForms": ["America"]}]	[{"Label": "College of Charleston", "Type": "F", "WikidataId": "Q4507421", "Confidence": 0.97, "OccurrenceOffsets": [42], "SurfaceForms": ["college"]}]
N28442	finance	finance-career-education	20 job hunting tips for baby boomers	Here is advice that will help you put your best foot forward and start the last act of your working life successfully.	https://assets.msn.com/labs/mind/AAHtBhp.html	[]	[]
N62084	news	newspolitics	House Republicans try to force a vote on censuring Adam Schiff	Rep. Andy Biggs, R-Ariz., on Wednesday took steps to try to force a vote on his motion to condemn and censure House Intelligence Committee Chairman Adam Schiff, D-Calif., for his "egregiously false and fabricated" reading of President Trump's July phone call with Ukrainian leader Volodymyr Zelensky during a hearing last month.	https://assets.msn.com/labs/mind/AAISxrn.html	[{"Label": "Adam Schiff", "Type": "P", "WikidataId": "Q350843", "Confidence": 1.0, "OccurrenceOffsets": [51], "SurfaceForms": ["Adam Schiff"]}]	[{"Label": "Republican Party (United States)", "Type": "O", "WikidataId": "Q29468", "Confidence": 0.92, "OccurrenceOffsets": [0, 17], "SurfaceForms": ["Rep.", "R"]}, {"Label": "Adam Schiff", "Type": "P", "WikidataId": "Q350843", "Confidence": 1.0, "OccurrenceOffsets": [148], "SurfaceForms": ["Adam Schiff"]}, {"Label": "Andy Biggs", "Type": "P", "WikidataId": "Q16199304", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Andy Biggs"]}, {"Label": "Volodymyr Zelensky", "Type": "N", "WikidataId": "Q3874799", "Confidence": 1.0, "OccurrenceOffsets": [281], "SurfaceForms": ["Volodymyr Zelensky"]}, {"Label": "Democratic Party (United States)", "Type": "O", "WikidataId": "Q29552", "Confidence": 1.0, "OccurrenceOffsets": [161], "SurfaceForms": ["D"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 1.0, "OccurrenceOffsets": [225], "SurfaceForms": ["President Trump"]}, {"Label": "United States House Permanent Select Committee on Intelligence", "Type": "U", "WikidataId": "Q2495362", "Confidence": 1.0, "OccurrenceOffsets": [110], "SurfaceForms": ["House Intelligence Committee"]}, {"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 1.0, "OccurrenceOffsets": [163], "SurfaceForms": ["Calif."]}, {"Label": "Arizona", "Type": "G", "WikidataId": "Q816", "Confidence": 1.0, "OccurrenceOffsets": [19], "SurfaceForms": ["Ariz."]}]
N5754	health	voices	I Brushed My Teeth With Charcoal For 7 Days: Here's What My Mouth Looked Like By The End	I had heard about how brushing your teeth with activated charcoal is supposed to help whiten and remove stains, so I thought, why not try it?	https://assets.msn.com/labs/mind/AADzqNK.html	[]	[{"Label": "Activated carbon", "Type": "C", "WikidataId": "Q190878", "Confidence": 0.915, "OccurrenceOffsets": [47], "SurfaceForms": ["activated charcoal"]}]
N60941	foodanddrink	videos	17 Things You Didn't Know Mayonnaise Could Do	Mayonnaise is a controversial condiment; however, it can be really useful. From removing table rings to killing lice, here are a ton ways mayonnaise can improve your cooking and your household.	https://assets.msn.com/labs/mind/AABbMM1.html	[]	[]
N19262	sports	basketball_nba	Suns Tuesdays: Mark Bryant grinding; Monty Williams right coach; Booker vs. Beverley; Josh Jackson in G-League	Our Suns Tuesdays column launches with assistant Mark Bryant's coaching style, Devin Booker vs. Patrick Beverley and Josh Jackson in G-League.	https://assets.msn.com/labs/mind/AAJwpnW.html	[{"Label": "Phoenix Suns", "Type": "O", "WikidataId": "Q164177", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Suns"]}, {"Label": "Patrick Beverley", "Type": "P", "WikidataId": "Q918596", "Confidence": 1.0, "OccurrenceOffsets": [76], "SurfaceForms": ["Beverley"]}, {"Label": "Josh Jackson (basketball)", "Type": "P", "WikidataId": "Q19757619", "Confidence": 0.989, "OccurrenceOffsets": [86], "SurfaceForms": ["Josh Jackson"]}, {"Label": "Monty Williams", "Type": "P", "WikidataId": "Q1891397", "Confidence": 1.0, "OccurrenceOffsets": [37], "SurfaceForms": ["Monty Williams"]}, {"Label": "NBA G League", "Type": "O", "WikidataId": "Q842793", "Confidence": 0.997, "OccurrenceOffsets": [102], "SurfaceForms": ["G-League"]}, {"Label": "Mark Bryant (basketball)", "Type": "P", "WikidataId": "Q1622762", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["Mark Bryant"]}]	[{"Label": "Phoenix Suns", "Type": "O", "WikidataId": "Q164177", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Suns"]}, {"Label": "Patrick Beverley", "Type": "P", "WikidataId": "Q918596", "Confidence": 1.0, "OccurrenceOffsets": [96], "SurfaceForms": ["Patrick Beverley"]}, {"Label": "Josh Jackson (basketball)", "Type": "P", "WikidataId": "Q19757619", "Confidence": 0.989, "OccurrenceOffsets": [117], "SurfaceForms": ["Josh Jackson"]}, {"Label": "NBA G League", "Type": "O", "WikidataId": "Q842793", "Confidence": 0.997, "OccurrenceOffsets": [133], "SurfaceForms": ["G-League"]}, {"Label": "Mark Bryant (basketball)", "Type": "P", "WikidataId": "Q1622762", "Confidence": 1.0, "OccurrenceOffsets": [49], "SurfaceForms": ["Mark Bryant"]}]
N20723	music	musicvideos	Jennifer Lopez Shares BEAUTIFUL Pics With Alex Rodriguez At Their Elegant Engagement Party!	JLo and ARod celebrated their upcoming nuptials with family and friends over the weekend and shared the sweet moments on Instagram.	https://assets.msn.com/labs/mind/AAI3kHU.html	[{"Label": "Jennifer Lopez", "Type": "P", "WikidataId": "Q40715", "Confidence": 0.991, "OccurrenceOffsets": [0], "SurfaceForms": ["Jennifer Lopez"]}, {"Label": "Alex Rodriguez", "Type": "P", "WikidataId": "Q558664", "Confidence": 1.0, "OccurrenceOffsets": [42], "SurfaceForms": ["Alex Rodriguez"]}, {"Label": "Engagement party", "Type": "C", "WikidataId": "Q5377422", "Confidence": 1.0, "OccurrenceOffsets": [74], "SurfaceForms": ["Engagement Party"]}]	[{"Label": "Jennifer Lopez", "Type": "P", "WikidataId": "Q40715", "Confidence": 0.991, "OccurrenceOffsets": [0], "SurfaceForms": ["JLo"]}]
N35774	foodanddrink	videos	What Is That White Stuff in My Raw Chicken?	We talked to a pro to find out everything you need to know about those tough white pieces in your chicken.	https://assets.msn.com/labs/mind/AAF4TcL.html	[]	[]
N43916	foodanddrink	restaurantsandnews	18 celebrity restaurants that failed	Opening a restaurant is relatively easy, the hard part comes from creating one that will have lasting appeal. From Steven Spielberg's submarine-themed joint to Gordon Ramsay's posh Mayfair sushi spot, here are the celebrity restaurants that didn't stand the test of time.	https://assets.msn.com/labs/mind/AAHxLGH.html	[]	[{"Label": "Gordon Ramsay", "Type": "P", "WikidataId": "Q15280", "Confidence": 1.0, "OccurrenceOffsets": [160], "SurfaceForms": ["Gordon Ramsay"]}, {"Label": "Steven Spielberg", "Type": "P", "WikidataId": "Q8877", "Confidence": 0.999, "OccurrenceOffsets": [115], "SurfaceForms": ["Steven Spielberg"]}]
N20513	foodanddrink	recipes	Our 73 Best Pie Recipes of All Time	Let's be real: Pie is definitely, objectively, without question, the greatest dessert on any dessert table. There's the flaky, rich crust; the thick, flavorful filling; and the triumphant topping, whether it be a shiny double crust or intricate lattice top or butter-smooth meringue or crispy crumble. Pie's also good all year round, able to harness summer's juiciest peaches, autumn's sweetest, crunchiest apples, and all of the nuts and custards...	https://assets.msn.com/labs/mind/AAEzvDI.html	[]	[]
N8798	health	wellness	17 Reasons Why Your Breath Smells Bad	Eating garlic and a lax teeth-brushing routine aren't the only causes of bad breath. Here are 17 common causes of halitosis, and how to freshen up from each.	https://assets.msn.com/labs/mind/AAHZxix.html	[]	[{"Label": "Eating disorder", "Type": "C", "WikidataId": "Q373822", "Confidence": 0.934, "OccurrenceOffsets": [0], "SurfaceForms": ["Eating"]}]
N10376	health	medical	Meet SCAD, a Major Cause of Heart Attacks in Women 50 and Under	It stands for spontaneous coronary artery dissection.	https://assets.msn.com/labs/mind/AAGbOFn.html	[]	[]
N24868	health	weightloss	Watch: Man Shares Time-Lapse Video of Six-Month Weight-Loss Journey	We're big fans of weight-loss stories, but we usually only get to see the before and after photos. Very rarely do we get to see someone's physique transform right before our very eyes.	https://assets.msn.com/labs/mind/AAGKMYw.html	[]	[]
N7951	news	newsworld	British police investigating truck deaths arrest 2 more, driver still in custody	Two more people   a man and a woman   were arrested Friday as part of the investigation into the gruesome deaths of 39 people inside the back of a semi-truck in southeastern England.	https://assets.msn.com/labs/mind/AAJl4n8.html	[{"Label": "Palestine Police Force", "Type": "O", "WikidataId": "Q2920352", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["British police"]}]	[{"Label": "England", "Type": "G", "WikidataId": "Q21", "Confidence": 0.94, "OccurrenceOffsets": [174], "SurfaceForms": ["England"]}]
N60467	video	animals	Puppy adorably escapes pen to join doggy friends	Watch this puppy make a hilarious escape from her pen. So cute!	https://assets.msn.com/labs/mind/AAJgR3m.html	[]	[]
N58332	entertainment	celebrity	From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark	From Taylor Swift to Kylie Jenner, a lot of stars have tried to trademark things like commonly used terms, song lyrics, and signature catchphrases.	https://assets.msn.com/labs/mind/AADzrTr.html	[]	[{"Label": "Taylor Swift", "Type": "P", "WikidataId": "Q26876", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Taylor Swift"]}, {"Label": "Kylie Jenner", "Type": "P", "WikidataId": "Q1770624", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["Kylie Jenner"]}]
N18885	sports	football_nfl	The Drive: Can Michael Dickson fulfill the hype?		https://assets.msn.com/labs/mind/AAJwpnZ.html	[{"Label": "Michael Dickson (American football)", "Type": "P", "WikidataId": "Q48808914", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["Michael Dickson"]}]	[]
N21041	movies	movievideo	Trailer - Midway	Trailer 2	https://assets.msn.com/labs/mind/AAHfVPi.html	[]	[]
N16032	health	weightloss	If You Have a Slow Metabolism, Here Are 5 Doctor-Approved Ways to Burn Belly Fat	If you have a slow metabolism, trying to lose belly fat can be disheartening to say the least. The good news? You can do this.	https://assets.msn.com/labs/mind/AAGiUfU.html	[{"Label": "Adipose tissue", "Type": "C", "WikidataId": "Q193583", "Confidence": 1.0, "OccurrenceOffsets": [71], "SurfaceForms": ["Belly Fat"]}]	[{"Label": "Adipose tissue", "Type": "C", "WikidataId": "Q193583", "Confidence": 1.0, "OccurrenceOffsets": [46], "SurfaceForms": ["belly fat"]}]
N21936	lifestyle	lifestylehomeandgarden	80 Old Items Fantastically Fit for Repurposing	Old milk jugs and pool noodles are standard materials for repurposing, but check out what you can do with items like books and gutters.	https://assets.msn.com/labs/mind/AAHa5EC.html	[]	[]
N27822	news	newsus	The plan to close Rikers Island, explained	The review process is at a crucial juncture, here's what you need to know	https://assets.msn.com/labs/mind/AAE5mif.html	[{"Label": "Rikers Island", "Type": "L", "WikidataId": "Q120119", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Rikers Island"]}]	[]
N44133	foodanddrink	newstrends	Chicago's First Krispy Kreme in 14 Years Opens Today	The shop offers fried treats and a new look in the Loop's Block 37 pedway	https://assets.msn.com/labs/mind/AAJaByn.html	[{"Label": "Krispy Kreme", "Type": "O", "WikidataId": "Q1192805", "Confidence": 1.0, "OccurrenceOffsets": [16], "SurfaceForms": ["Krispy Kreme"]}]	[{"Label": "108 North State Street", "Type": "F", "WikidataId": "Q4546763", "Confidence": 1.0, "OccurrenceOffsets": [58], "SurfaceForms": ["Block 37"]}]
N61079	lifestyle	lifestylesmartliving	29 Elf on the Shelf Ideas Your Child Will Find Truly Magical	Make every morning till Christmas more fun than the last!	https://assets.msn.com/labs/mind/AAJwgTj.html	[{"Label": "Your Child", "Type": "W", "WikidataId": "Q8058759", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["Your Child"]}]	[{"Label": "Christmas", "Type": "H", "WikidataId": "Q19809", "Confidence": 0.981, "OccurrenceOffsets": [24], "SurfaceForms": ["Christmas"]}]
N55625	lifestyle	lifestylebuzz	Child falls from 9th floor balcony in White Oak, Maryland, officials say	A child has fallen from a ninth-floor balcony in White Oak, Maryland, officials said. Pete Piringer, the Montgomery County Fire and Rescue public information officer, said the child suffered a "minor traumatic injury." The child was originally transported as a priority one trauma after falling at the Château Apartments. RELATED: 2-year-old falls from 11th floor window of Maryland apartment building In September, a two-year-old fell from an 11th...	https://assets.msn.com/labs/mind/AAISHj4.html	[{"Label": "White Oak, Maryland", "Type": "G", "WikidataId": "Q753641", "Confidence": 1.0, "OccurrenceOffsets": [38], "SurfaceForms": ["White Oak"]}, {"Label": "Maryland", "Type": "G", "WikidataId": "Q1391", "Confidence": 0.945, "OccurrenceOffsets": [49], "SurfaceForms": ["Maryland"]}]	[{"Label": "White Oak, Maryland", "Type": "G", "WikidataId": "Q753641", "Confidence": 1.0, "OccurrenceOffsets": [49], "SurfaceForms": ["White Oak"]}, {"Label": "Maryland", "Type": "G", "WikidataId": "Q1391", "Confidence": 0.945, "OccurrenceOffsets": [60, 374], "SurfaceForms": ["Maryland", "Maryland"]}]
N46832	health	causes	Tips for Getting a Mammogram		https://assets.msn.com/labs/mind/AAGbZKZ.html	[]	[]
N44959	lifestyle	lifestyledidyouknow	Tour the abandoned Outlaw House with an FBI connection	The home of a billionaire business mogul and a rumored FBI agent, there's more to this abandoned house in Mobile, Alabama, than meets the eye. Captured by intrepid photographer Leland Kent of Abandoned Southeast, step inside and unravel this curious tale for yourself...	https://assets.msn.com/labs/mind/AAGKO6J.html	[{"Label": "Federal Bureau of Investigation", "Type": "O", "WikidataId": "Q8333", "Confidence": 1.0, "OccurrenceOffsets": [40], "SurfaceForms": ["FBI"]}]	[{"Label": "Leland Kent", "Type": "N", "WikidataId": "Q65598596", "Confidence": 1.0, "OccurrenceOffsets": [177], "SurfaceForms": ["Leland Kent"]}, {"Label": "Alabama", "Type": "G", "WikidataId": "Q173", "Confidence": 0.998, "OccurrenceOffsets": [114], "SurfaceForms": ["Alabama"]}, {"Label": "Mobile, Alabama", "Type": "G", "WikidataId": "Q79875", "Confidence": 1.0, "OccurrenceOffsets": [106], "SurfaceForms": ["Mobile"]}, {"Label": "Federal Bureau of Investigation", "Type": "O", "WikidataId": "Q8333", "Confidence": 1.0, "OccurrenceOffsets": [55], "SurfaceForms": ["FBI"]}]
N17286	sports	baseball_mlb	Here's what history says about Astros' chances of World Series comeback against Nationals	According to MLB.com, teams that have gone down 0-2 at home in the 2-3-2 format have won the World Series three of 25 times. Game 3 at Nats is Friday.	https://assets.msn.com/labs/mind/AAJl4sV.html	[{"Label": "Washington Nationals", "Type": "O", "WikidataId": "Q825838", "Confidence": 1.0, "OccurrenceOffsets": [80], "SurfaceForms": ["Nationals"]}, {"Label": "World Series", "Type": "E", "WikidataId": "Q265538", "Confidence": 0.996, "OccurrenceOffsets": [50], "SurfaceForms": ["World Series"]}, {"Label": "Houston Astros", "Type": "O", "WikidataId": "Q848117", "Confidence": 1.0, "OccurrenceOffsets": [31], "SurfaceForms": ["Astros"]}]	[{"Label": "Washington Nationals", "Type": "O", "WikidataId": "Q825838", "Confidence": 1.0, "OccurrenceOffsets": [135], "SurfaceForms": ["Nats"]}, {"Label": "World Series", "Type": "E", "WikidataId": "Q265538", "Confidence": 0.996, "OccurrenceOffsets": [93], "SurfaceForms": ["World Series"]}]
N56461	finance	finance-taxes	President Trump's trillion-dollar hit to homeowners	People should consider one of the largely unexamined effects of the last tax bill, which Trump promised would help the middle class: Would you believe it has inflicted a trillion dollars of damage on homeowners?	https://assets.msn.com/labs/mind/AAIzltR.html	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.998, "OccurrenceOffsets": [0], "SurfaceForms": ["President Trump"]}]	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.998, "OccurrenceOffsets": [89], "SurfaceForms": ["Trump"]}]
